Titulos,Conteudo;
"Sem Internet, conta mais cara e técnico não compareceu,""Já passou de 48 horas sem solução, mandam religar o modem ou perguntam se o computador está ligado na tomada, no maior tom de debo""";
Disseram que não iriam cobrar nada após csncelamento e acabaram cobrando.,Estou desde 25/11 sem conexão com a internet. Minha Tim ultrafibra simplesmente parou de funcionar. No mesmo dia tentei ligar para;
"Internet funcionando abaixo da velocidade ofertada e apresentando quedas constantes,""Desde que instalei a Internet da tim ja tive problema, peguei o pacote que vinha com o hbo max, e estava com problema para que eu """;
Dificuldade em cancelar o Plano,Desde o final do mês de setembro minha internet Tim Fibra 300megas vem apresentando instabilidades em determinados períodos. Reali;
"Valor da fatura mais alto que o informado no momento da contratação,""Na quinta feira dia 26/10 entrei em contato com a operadora, reclamando de falta de internet, a mesmo me informou via chat que nor""";
"Telemarketing abusivo,""Olá, já liguei 2 vezes para cancelar meu plano Tim fibra, e dificultam muito, ficam pedindo mais uma chance, mas não tenho mas int""";
"SEM INTERNET OUTRA VEZ,""Gostaria de reclamar em relação ao valor do plano oferecido, ao ser ofertado o produto de internet 500 mega, a vendedora ofertou p""";
"Cobrança,""A empresa me ligo hoje em meu celular oferencendo seus serviços. Eu tenho meu número cadastrado no """"Não me perturbe"""". Ex""";
LIGAÇÕES CALL CENTER SEM AUTORIZAÇÃO,Mais uma vez estou vindo aqui reclamar e já estou colecionando reclamações sobre o mesmo problema. O bom é que terei insumos para ;
"Não alteram plano que já foi solicitado,""Boa tardeFiquei devendo uma fatura d vcs, tive o serviço suspenso até aí ok. Pra minha surpresa eu recebi cobranca d três fa""";
"LIVE TIM bloqueiou o acesso ao site da empresa onde trabalho.,""PELO AMOR DE DEUS.. Não quero mais receber ligações da TIM me oferecendo fibra ou celular. Independente se for outra empresa, espe""";
Serviço não instalado na residencia,Todo ano enfrento com mesmo problema com a Tim. Meu plano é antigo e a conexão tem estado péssima. Entrei em contato para solicita;
"Falta de internet, cobrança indevida e impossibilidade de cancelamento do serviço,""Estou trabalhando em Home office há aproximadamente 3 anos e nunca tive problemas com a TIM, em relação ao sinal sempre foi ótimo.""";
"Instalação dos serviços não concluída, sem resolução assertiva,""Solicitei a instalação do serviço de internet da TIM ULTRA FIBRA na minha residência, via WhatsApp com o representante da TIM, for""";
"Instalação não solicitada,""Desde a sexta de carnaval de 2023 estou sem internet, alegaram que no momento era impossível realizar o reparo na minha região e q""";
"contratei um plano por 99 reais e estão me cobrando 134,""Gostaria muito dos serviços da TIM, porém infelizmente não estou recebendo uma resposta assertiva da minha instalação. Acontece qu""";
"Sem internet em modo bridge,""Sou cliente de vocês a mais de 1 ano.Hoje entrei em contato com 10341 - Falei com Ramon, Maike, Adriele, Daniele, Aria""";
"Sem acesso a área de cancelamento,""A Tim me ligou oferecendo um serviço de internet de 500mb, na época eu estava com a operadora  Oi, mas me ofereceram esse plano de""";
Dificuldades para mudança de plano,Nao estou conseguindo acessar a internet em modo bridge desde que houve uma manutencao emergencial. estou sem internet ja faz dias;
"Lentidão no acesso a internet,""Fiz o cancelamento do pacote de fibra que tive vários problemas referentes a conexão, estou recebendo uma cobrança e não consigo t""";
"Mensalidade cobrada duas vezes,""Estou desde o dia 6/11 tentando upgrade do meu plano contratado de 300Mb para 500Mb,e não consigo ter essa troca de plano efetuada""";
Esta empresa deveria ser classificva como uma ignomínia,Ligação computador e acesso ao sistema super lento..;
"Atendimento muito ruim, confuso e despreocupado com compromisso ao cliente,""Fiz um novo acordo com a Empresa Tim, eles me passaram o boleto para o pagamento, eu o fiz, porém me foi cobrado em debito automát""";
"Cancelamento de linha e cobrança pós cancelamento,""Fiz uma reclamação anterior sobre suporte técnico, fique insatisfeito, aí a """"especialista"""" Srta Verlaine entrou em conta""";
"Internet Banda Larga extremamente lenta hoje (23/10/23) = <  0,3 Mbps de download,""Bom diaDesde ontem 23/10/2023 enfrento problema com o atendimento da TIM, entrei em contato inicialmente tentando cancelar d""";
"não para de ligar ja fiz uma reclamação hoje e nada,""Foi solicitado o cancelamento da linha ultra fibra da TIM por motivo de mudança, no novo endereço eles não atuam e não tem porta d""";
"FALTA DE CONEXÃO,""Velocidade de download <  0,30 Mbps . O que está havendo ??? Perspectivas de melhora ??""";
Não cumprimento da oferta e cancelamento,toda hora e todo dia a tim fica ligando e ja disse que ja tenho mais mesmo assim fica ligandoi;
"Abertura de Porta,""Desde do dia  17/10/2023 estou sem internet, abri diversos protocolos de reclamação e a resposta é padrão ( retorno até 8  horas) """;
"Cancelamento de internet,""Prezados, Entrei em contato com a operadora no dia 19/10 por volta das 11hrs da manhã via whatsapp para abrir um chamando po""";
Falta Internet a 05 dias,Estou precisando que a Tim resolva sobre a abertura/configuração de uma porta para que eu posso exercer as minhas atividades labor;
"Contas em dia e bloqueio/redução da internet.,""Tenho uma conta com a TIm, apenas de internet. A conta atual esta em debito automatico e nao recebo a fatura fisica. Dessa forma, """;
"NÃO FOI POSSÍVEL ACESSAR O MEU TIM NESTE MOMENTO. FECHE O SEU NAVEGADOR E TENTE NOVAMENTE.,""Bom dia!Desde segunda-feira, dia 16/10, após o horário das 18hs a internet da Tim Ultrafibra vem deixando a desejar no""";
"Apos ligar para reclamar de falta de acesso ao paramont+ começaram a me mandar e-mail sobre uma cobrança,""Venho tendo problemas a meses com o pagamento da tim, desde o primeiro mês que não foi debitado o débito automático e eu fiz o pag""";
"Velocidade não chega nem metade do que é vendido.,""Tenho meses tentando acessar esse sistema da TIM para obter minhas faturas mas nunca consigo, sempre aparece essa mensagem:""";
"7 dias sem internet,""no dia 10 de outubro de 2023, liguei no atendimento para reclamar que não estava conseguindo acessar o paramont+ com o meu e-mail,""";
Vibra já passa na rua mais indisponível,Olá boa noite!Trabalho em Home Office e já tem uns 4 dias que não estou conseguindo trabalhar. O que é fornecido não é o suf;
"Sem Internet,""Estamos sem internet 7 dias na loja desde o dia 11/10/2023, e por ser uma empresa não conseguimos ter funcionamento sem internet. """;
"Problema com a forma de pagamento,com os valores que vem e problemas técnico mais de 6 meses,""Já passa a fibra e já tem a caixa e não consigo aderir pelo site, pq informa que não tem na rua. Só que já tem""";
"Banda Larga 1Gbs com modem de 500Mbps,""Fiquei 3 dias sem internet, fizeram o reparo e agora estou, novamente, 8 dias sem internet.Reclamo todos os dias, tenho deze""";
"Aplicação absurda de Multa por Cancelamento,""Desde que contratei o plano da ultrafibra da Tim, venho tendo muito problemas. começou com 2 pedidos de internet sem que só tinha """;
"Modem com etiqueta trocada,""Contratei o pacote da TIM Fibra 1GB Premium 22 2 realizei o primeiro pagamento, sendo que a velocidade não atinge a contratada, co""";
"Péssimo atendimento,""Estou me mudando para outro Estado para uma cidade que tem cobertura da TIM, entretanto a TIM não permite a mudança de endereço po""";
"Cobranção indevida,""Precisei trocar a senha do meu wifi e esqueci, fiz o procedimento padrão para resetar o modem para as informações de fabrica, e a """;
"IM Ultra fibra lento, plano de 150mega roda a 45 mega , acesso a caixa de fibra da tim parece ser comunitario , todo mundo mexe, acredito esta cheio de splitter.,""Em menos de 5 dias fiquei sem internet dois dias , estou tentando contato com a tim para reclamar e pedir abatimento deste período""";
"CANCELAMENTO DE INTERNET,""No dia 13/07/2023 realizei o pedido para instalação da internet no site da Tim Live pela promoção de R$ 118,50 por 12 meses, porém""";
"Tim live se querem dor de cabeça essa e a operadora certa,""a fibra de 150 mega e pior que o modem de 60 mega da tim anterior de par metalico, parece que tem um monte de Splitter (Óptico Fib""";
"Cobrança indevida de taxa de instalação com 8 meses utilizando o serviço,""Prezados, boa tarde.Estamos sem o Serviços de Fibra à cerca de 3 meses, com isso, solicito o cancelamento do serviço, """;
Entrei em contato com a TIM LIVE Devido a uma alteração na conta.,Já a anos que tenho a Tim live e sempre vivo nessa luta com problemas falta de conexão queda etc.. e muito mais já tem mais de sem;
"dependo 100% da internet pra trabalho,""No dia  07/08/2023 , eu havia aberto uma reclamação por terem mudado o meu plano, SEM O MEU CONSENTIMENTO, deixando o valor do pla""";
"sem previsão de reparo,""Tive um reajuste na minha fatura sendo que tinha contrato 1 ano por 92,64 no debito aumomatico.Em Jul/23 o seu plano f""";
"Mudança de plano sem resposta,""Estou sem Internet desde o dia 05/10/2023 , liguei no 10341 as 14:22 horas e informaram que havia problemas na rede externa e seri""";
"Tim veio instalar internet em outro apartamento, cortou os meus cabos e estou sem internet fazem 48 horas,""Sou cliente TIM e utilizo a internet fixa em meu local de trabalho, onde dependo da internet para manter meus atendimentos. Notei """;
"NÃO CONSIGO CANCELAR MINHA INTERNET, DESLIGAM  TEL.,""No dia 29/09 entrei em contato através do chat para a mudança de plano, ela tinha o prazo máximo de até o 6/10 ocorrer a mudança, """;
"Cobrança indevida e não retorno de contestação de valor da cobrança,""Desde o dia 04/10/2023 estou sem conexão com a internet, onde abri o protocolo de reparo técnico*******74 e me foi informado que o""";
Aguardo a retirada de equipamentos, que foi agendada e ninguém compareceu,JÁ LGUEI E SEMPRE DESLIGAM O TEL.;
Troca do moldem de cômodo,Infelizmente to tendo que perder tempo do meu dia para reclamar de duas questões que estou passando após cancelar meu plano de int;
"Existe cobertura mas não existe viabilidade para região.,""Aguardo a retirada do modem, devido a cancelamento do meu plano, no dia 19/9/23. Para variar, agendam a data em que vão reti""";
"Cobrança indevida após cancelamento,""Liguei na Tim para vim um técnico para trocar o moldem de cômodo queria que fosse para meu quarto, aí chegou no dia eles não viera""";
"ABSURDO OLHAR SCORE DE CPF ANTES DE REALIZAR VENDA DE PRODUTOS,""Estou em processo de mudança de endereço, preciso muito mudar minha internet de residência, entretanto estou com problemas na anál""";
"Solicitação do plano,""Mais um final de semana sem Internet, a empresa é um lixo, péssimo, já ganhei um processo e vou ganhar outro, porque aqui, não tem""";
1 mês sem internet,Fui cliente por alguns anos e no dia 28 de agosto 2023 solicitei o cancelamento da minha internet. Confirmei com o atendente se ge;
"Sem conexão há dois dias,""Estou tentando realizar a compra da internet TIM ULTRA FIBRA mas eles informam que não podem me vender devido ao baixo score, prát""";
"Internet instável a mais de 1 semana,""Boa tarde, Estou a 3 mês solicitando o cancelamento, pois estou muito insatisfeita com o serviço, o valor aumento a quantida""";
Má conduta,No dia 01 de setembro cheguei de viagem e não havia internet. Entrei em contato com a TIM e marquei um agendamento para o domingo ;
"Sem internet ultra fibra a mais de 2 semanas,""Desde a madrugada de ontem (28/09) estou totalmente sem conexão devido a uma """"manutenção"""" mas não fui nformado de nada n""";
"Péssima  conexão,""Olá estou com instabilidade na minha internet a mais de 3 semanas problema iniciado dia 04 de setembro não carrega muitos sites, j""";
"Cancelamento da linha após 1 ano de reclamações sem solução,""Necessito de reparo em minha internet, mas como nas últimas três reclamações a Live Tim prolonga o tempo de atendimento o período """;
"promoção ofertada totalmente diferente do serviço instalado,""Estou sem internet a mais de duas semanas, recebi a visita de um técinico e o mesmo informou que o problema era externo, fiquei ag""";
"a instalação foi feita 10 dias depois interrompida,""Contratei o serviço, depois de 2 dias a internet deu problema, o atendimento é tudo por bot,  que não tem a capacidade de arrumar """;
Internet Lenta,Dia 17/09 teve um problema na internet. Liguei na Tim pra cancelar o serviço e me convenceram a permanecer na operadora. Era Timli;
Velocidade ofertada menor que a velocidade contratada,Comprei um plano de dados moveis na tim em fevereiro de 2022. Antes de adquirir o plano perguntei se a internet funcionava b;
"Internet sem reparo,""Passou um rapaz e me ofereceu um serviço, prometendo muitas coisas, como internet banda larga e 2 celulares de conta nos contatos """;
PASSOU O PRAZO E CONTINUAMOS SEM INTERNET,Contratei a internet da TIM ultra fibra para minha loja foi feita a instalação 15 dias depois foi interrompida fiz várias reclamaç;
"Estou sem internet desde o dia 20/10/2023 e a tim não faz nada.,""Contratei a 3 meses a Tim para minha residência com a mesma velocidade que eu tinha na outra operadora,  eles me prometeram que a """;
"Todos os dias sem internet!!!,""A aproximadamente 1 ano fiz a migração do meu plano para um plano de 1 Giga de velocidade. Nunca, nunca mesmo, a velocidade oferta""";
Estou sem Internet há quase 1 semana,Estou sem internet desde de março com a desculpa que é área de risco.  Acabei de encontrar um técnico que está fazendo manutenção ;
"MUITO PROBLEMA COM INSTALAÇÃO E DEPOIS DA INSTALAÇÃO INTERNET HORRÍVEL!,""Mais uma vez insatisfeita com o serviço da TIM. Estou sem internet desde a madrugada, e nos foi informado que a região estava pass""";
"Sem internet há 24 horas,""Estou sem internet desde o dia 20/10/2023 e até o presente momento ninguém resolveu o problema, já tentei diversas vezes abrir um """;
"Queda constante de sinal,""Todos os dias minha internet cai, não adianta o quanto o técnico venha e faça o serviço, sempre há uma desculpinha nova sobre o fu""";
"Internet Péssima Todos os momentos,""Na segunda feira um técnico fez uma visita para realizar alteração de tecnologia, passando para fibra óptica. Chegando aqui ele in""";
"Reparo agendado para ser feito dia 27/10/2023, as 14 horas, nao vieram.,""Olá, meu nome é Felipe, contratei a TIM ULTRA FIBRA (no nome da minha amiga) a alguns meses (inclusive quebrei contrato com outra """;
"Reparo na região,""Estou entrando em contato com o atendimento da Tim desde sexta feira, dia 27/10 , pois simplesmente a internet na minha casa parou""";
"Solicitei reparo, vieram em outra data e ainda tiraram a minha internet,""Há 3 meses contratei o serviço de banda larga e desde então quando chove ou qualquer vento o sinal cai, e isso ocorre toda vez que""";
Sem serviço de dados,Quando instalei o serviço de internet fixa TIM no meu condomínio era por motivo do serviço da Claro ser ruim. Nós primeiros meses ;
"Visita técnica não realizada,""Estou insatisfeito com a Tim, pago os boletos em débito automático em dia, sou comerciante,uso a internet 24 horas para o meu trab""";
"Sem Internet e sem previsão,""Contratei a internet da Tim em Junho e desde então venho tendo problemas. Nunca é entregue a velocidade contrata, a internet vive """;
"Minha Internet não funciona,""Todo sábado tenho ficado sem internet na minha residência. Sempre com respostas automáticas, Tim na providência o reparo rápido e """;
"Meses com a Internet pessima,""Solicitei reparo sábado, dia 21/10 e não fui atendida.Na segunda,23/10  abri novamente um chamado no WhatsApp, que só foi re""";
"Velocidade reduzida,""Estou a 3 dias sem conexão, já liguei na central de atendimento Tim, na ouvidoria. E nada resolveu. Liguei e tentei diversa maneir""";
"Péssimo atendimento e prestação de serviço,""Com recorrência estou enfrentando problemas com lentidão e queda de internet, fiz diversos contatos com a operadora e os atendente""";
Internet Não está funcionando,Estamos sem Internet ha 4 dias A primeira ligação feita disse que estava com problema na região. A segunda a mesma coi;
"Sem internet, caindo muito e quando peço para resolver, o resultado é pouco efetivo,""A Tim fibra é uma droga Desde fevereiro eu ligo pra arrumarem minha Internet, vem técnico arruma, qdo.ele vai embora cai a n""";
Tim internet não funciona,A meses tenho que ficar pedindo para corrigir a baixa na velocidade do serviço. Ultimamente está péssimo e ainda cobram por isso.;
"Péssimo serviço prestado,""Velocidade baixa, nao chega nem nos 50 megas dos 500 megas que eu contratei, me sinto enganando com essa empresa que não presta um""";
contratei 1 giga e não funciona,Estou a mais de 20 horas sem conexão. Infelizmente o suporte da TIM Ultrafibra é ineficiente e não oferece uma opção p;
"Falta de Internet,""Minha internet não está funcionando a uma semana, cai a todo momento, lentidão, já liguei diversas vezes e nada de mandar um técni""";
"Serviço técnico e assistência,""O técnico é muito bom, gentil e realmente tentou resolver o problema. No entanto, a empresa não entrega o que foi contratado. Quer""";
Não arruma a minha linha,Internet Tim não funciona no meu celular e nem na minha casa Como pode????Pago mais de 100 reais de celular e a intern;
Plano de 1gb,Venho por meio desta externar minha total insatisfação com o péssimo serviço oferecido pela operadora! Já tentei de tudo! Aumentei;
"Sem serviço de internet,""estou com problemas de velocidade desde a contratação do produto . e apesar de todas as reclamaçoes feitas, inclusive para a ouvid""";
tecnicos terceirizados da TIM ficam desligando a internet no poste,Somos clientes da Tim Live a anos e nos últimos meses estamos enfrentando certo desconforto em relação a conexão da internet. ;
"Serviço interrompido,""Prezados, boa noite! Não achei outra alternativa à não ser vir aqui reclamar, e espero que vocês possam me ajudar! Faz""";
Baixa velocidade e mal atendimento,Já faz tempo que tenho reclamado vem técnico e não resolve o problema já falei que tem que troca o fio que outras empresas cortarã;
"Ultra fibra não fornece a velocidade contratada,""Fiz a troca de plano de 500 para 1gb de velocidade, foi me informado que caso não chegasse a velocidade de 1gb, iriam trocar o mol""";
"Semanas com instabilidade, agora completamente sem internet,""Desde de terça feira que estou sem internet, trabalho com internet e estou tentando prejuízo.""";
"Prestação de Serviços de má qualidade,""Cobrança de um serviço que eu não pedi, disseram que tinham resolvido o problema ainda continua recebendo email de cobrança . Vou """;
A TIM NÃO QUER REALIZAR O REPARO DA INTERNET,Estou a 3 dias novamente sem internet que outro prestador de serviço deve ter subido no poste e desligado minha internet para liga;
Sem internet a cinco dias,Bom dia.Sou cliente da TIM desde 2018 neste endereço. Há 3 dias estou sem o serviço de Internet. Entrei em contato com;
"Acordo não cumprido,""Tenho uma TIM Ultra fibra de 500 GB, porem ultimamente esta oscilando muito e não passa de 40 GB, ja tentei por duas vezes ligar n""";
"Sem funcionar na primeira semana que foi instalada,""Ao verificar a velocidade de internet da ultrafibra da Tim, tenho notado que a velocidade contratada de 70 mbps não é a mesma ao m""";
"Pagamentos em dia mas sem serviço,""Chamado original no reclame aqui: 173898319Estou abrindo outro pois o anterior foi respondido e encerrado, não sendo c""";
"Insatisfação  com plano contratado .,""A Operadora TIM presta um péssimo serviço de banda larga, constantemente com queda de sinal e redução de velocidade, além do modem""";
"Internet não funciona como deveria,""HÁ POUCO MAIS DE UMA SEMANA, CHOVEU FORTE E TAMBÉM TEVE FORTES VENTOS QUE ROMPERAM O CABO DO MOLDEM DE MINHA RESIDÊNCIA, INTERROMP""";
"Mais de 48 horas sem INTERNET em casa.,""E sigo sem internet e nenhuma solução.Desde o dia 20-10 e hoje dia 25-10 me encontro sem ainda, fizeram reparo, a internet f""";
Bom dia solicito contestação da fatura sobre periodo sem sinal falta de respeito ao consumidor,Recebi a ligação oferecendo os serviços da Tim como eu iria economizar e manter a mesma velocidade e serviços como telefone fixo e;
"Não tem prazo para o reparo,""Dia 17/10/2023 a internet da TIM foi instalada. Nessa primeira semana de uso, a internet parou de funcionar duas vezes, e, no mome""";
"Lentidão da velocidade por dois dias,""Desde que a empresa sugeriu a troca de tecnologia, maior parte do tempo o serviço de internet fica indisponível.Apesar de te""";
"Sem internet, péssimo serviço e antedimento,""Bom vamos lá, me mudei recentimente para esse novo endereço , como já tenho plano no meu celular com a tim resolvi pedi para minha""";
"Quedas constantes da Internet 2.4G,""Há poucas semanas fizemos solicitação de um técnico pra fazer reparos na nossa Internet que, ou está lenta demais ou não existe, n""";
"Tim não resolve problemas de conexão da internet,""Desde segunda-feira 23 de outubro estou sem Internet em casa, após abrir chamado (protocolo n*******59) fui informado que minha re""";
Sem sinal de internet,Estou sem sinal sem internet a mais de 80 dias so chegando fatura nao chega tecnico para fazer reparo so reparo remoto e nao resol;
Sem internet a mais de 48h,Minha internet parou de funcionar entrei em contato com Tim para saber se tinha alguma instabilidade na minha área fui informada q;
Internet de Fibra Fajuta,Internet está extremamente lenta. Somente normaliza após o contato por whatsapp mas logo depois volta a ficar lenta (download cai ;
"A internet vive caindo, eles demoram para resolver o problema e dessa vez estou mais de 3 dias sem internet e eles não resolvem.,""Sofro com constantes quedas de internet da Tim Ultra fibra. No dia 25 agosto, fiz um chamado porque fiquei sem acesso internet ban""";
"Descumprimento de Obrigações - Sem Internet,""Tenho vários protocolos abertos referentes a quedas constantes da Internet, quando ligo, eles informam que está tudo normal porque""";
"Sem fornecimento do serviço de dados, desde 11/10/23,""Faz mais  de 5 dias que a internet não está funcionando , sempre tendo contato com suporte técnico pelo telefone 10341 , e uma gra""";
"SEM INTERNET,""Foi instalado minha internet no dia 27/09, no dia18/10 menos de uma mês de uso estou sem sinal , busquei atendimento no 10341 não """;
péssima qualidade do serviço,Estou sem internet a mais de 24 hs!!;
Falta de respeito do atendente e mensagens excessivas,Estou com a internet instável desde segunda-feira à noite (16/10/2023). Fico totalmente sem conexão a maior parte do tempo e quand;
Não cumprimento de prazo e pagando caro pela má entrega do produto/serviço,Talvez essa internet de fibra tenha dado os 300 somente no dia da contratação.O Comum é ter 30 e toda aquela propaganda de v;
"Inconstância no serviço de Internet há mais de dez dias, inclusive hoje.,""A rede vive dando problema. Você liga, eles mandam o técnico que não resolve. Aí você tem que ficar ligando e ligando. Agora, a in""";
"Instabilidade  no Tim Live,""Prezados responsáveis,Venho por meio desta carta formal expressar minha profunda insatisfação com os serviços prestado""";
"Estou a 5 dias sem internet e a TIM não faz nada a respeito,""Meu serviço de internet foi interrompido dia 11/10, aguardei até o dia 12/10 porém mediante a ausência do reparo fiz minha reclama""";
"Velocidade de conexão ultra baixa,""Já estou a mais de 24 horas sem internet, entro emo contato com a Tim, e sempre a mesma resposta, que estão com problemas tecnicos""";
"numero de portas pequeno para grande numero de usuários da internet, nessa rua.,""Eu tenho a banda larga da tim a mais de 1 ano porém nos últimos 5 meses eu passei sempre tendo quedas constantes, tanto é que eu l""";
"Serviço Ruim,""Já é a terceira vez neste mês que ficamos sem internet por mais de 12 horas. Ninguém faz nada , ninguém resolve nada ! Mas temos q""";
INTERRUPÇÃO DO SINAL,Uma atendente da tim me enviou mensagens oferecendo plano e pedi pra retirar meu nome da lista e entao começou as ofensas  com pal;
Todo dia sem internet,Entrei em contato com o atendimento da TIM Ultrafibra para falar sobre a internet que funciona em alguns pontos de utilização da c;
LOS piscando luz vermelha,Protocolo Tim*******83Há mais de dez dias estou tendo problemas no fornecimento de acesso à Internet por parte da TIM. Vária;
"Desde o dia 11/10/23 sem internet,""Tem uma semana que o serviço  da Tim Live está  instável.  Moro na área da Tijuca, no Rio de Janeiro,  e há  uma semana o serviço """;
