Titulos,Conteudo
PROMETE SUPORTE E NÃO TEM CAPACIDADE DE CUMPRIR,Estou SEM INTERNET DOIS DIAS INDO PARA O TERCEIRO DIA !!!!!A VIVO SÓ SABE COBRAR E NÃO CUMPRE O QUE VENDE.. ESPEREI MA
Ofertas de Banda larga,"É impressionante como o Tele Marketing dessa empresa é inconveniente.  Fiz Reclamação no SAC, reclamei na Anatel, meu fone é cadas"
Propaganda enganosa da Vivo e seus representantes,Fiz uma assinatura da Vivo no mês de setembro com o representante de minha cidade chamado Marcelo que me ofereceu o plano deles po
Operadora G O L P I S T A!,A Vivo está querendo dar [Editado pelo Reclame Aqui] de todo jeito .Ficam ligando aqui me oferecendo internet fibra pra minha empr
Ninguém resolve o problema mas cobrar não para.,Tinha a netflix pela vivo no gmail. Ai Fiz um Upgrade na minha Internet da vivo a mais de 30 dias. E minha assinatura foi cancelad
Quero suspender a internet por 2 meses,"Preciso suspender a minha internet por 2 meses, pois vou reformar meu apto, e como aluguei outro, quero suspender o que esta insta"
Visita técnica - VIVO,"Estou há 2 dias sem internet, ja fiz o agendamento de visita técnica para 03/11 as 10:00 da manhã e não recebi a visita do técnico"
Sem conexão de dados,"Em 31/11/2023 foi aberto um chamado na operadora VIVO às 08:17hs da manhã, sem conexão de dados, protocolo*******1619. Agendado no"
Sem Internet - Vivo Fibra,"Estou sem internet a 4 dias, fiz solicitação de suporte no primeiro, a ligação caiu e não tive retorno, no segundo dia, foi inform"
Mais uma vez sem internet em menos de uma semana!,A primeira sem internet foi do dia 20/10 para o dia 21/10 qdo consegui reclamar. Agora foi do dia 01/11 que reclamei e até hj 03/1
Sem internet,"Contratei o serviço de Internet da Vivo no dia 24/10. O serviço foi instalado no dia 28/10. Funcionou bem até o dia 30/10, onde nu"
Cobrança [Editado pelo Reclame Aqui],Desde o mês de setembro a Vivo está fazendo cobrança [Editado pelo Reclame Aqui] em meu CPF. Em agosto alterei meu plano de 200meg
Internet fixa,"Em poucas palavras: depois de pago, continua a mesma coisa, toda hora cai e não é a primeira vez, fica todo tempo oscilando."
Cobrança [Editado pelo Reclame Aqui] e pagamento não baixado,"Eu tinha vigência contratual da Vivo fibra até final de 2020, quando solicitei o cancelamento devido a mudança de casa. Do dia do "
Impossível cancelar uma instalação agendada.,"Tentei realizar o upgrade de velocidade na minha vivo fibra, porém o sistema não identificou que ja existe uma linha instalada e a"
"Chama Vivo, morreu faz tempo!",A Vivo interrompeu o fornecimento de internet banda larga na quarta-feira dia primeiro de novembro por volta de 13 horas.Desde aqu
Não consigo cancelar instalação,Em julho de 2023 solicitei a transferencia de endereço para a vivo e fui informado de que não tinha disponibilidade na minha regiã
Não consigo alterar o ponto de instalação da minha banda larga no mesmo local.,"Solicitei o serviço de vivo fibra empresa, e recebi no mesmo site, a mensagem dizendo que o pedido tinha sido aceito, para aguarda"
Recusa de fazer o serviço,"Bom dia.Estou a quase um mês para realizar a alteração de um ddd de (19) para (11), junto a operadora vivo, pois precisamos "
"internet pessima qualidade, cai td hora, não pode chover que cai e nem ventar","Dois técnicos Matrícula: 80877556 e Matrícula: 80624331, se recusaram a instalar a fibra em meu endereço, porque segundo eles, &qu"
Relação com valores pagos nunca chega.,"desde o começo do ano que a internet esta péssima já cheguei a ficar 4 dias sem, o técnico já veio em casa varias vez ele disse qu"
Sem internet desde o dia 24/10/2023,Preciso da relação com os valores pagos por minha Internet Fibra desde Maio de 2022. Solicitei através do protocolo*******0827 com
SEM INTERNET,"Olá, estou sem internet desde o dia 24/10/2023 , (data de abertura do chamado 03/11/2023)  já entrei em contato com a empresa  pel"
cancelamento não efetuado e problemas com o serviço prestado e restrição do nome no serasa sem debitos com a vivo.,"Prezados,Desde do dia 30/10, estou sem internet em casa , fiz reclamação na vivo com os protocolos*******956  e na ouvidoria"
VIVO instala na sexta e pede cartão de crédito na segunda. Diz que vai cancelar se não informar. Eu acertei pra pagar no boleto!!,"Bom dia.Srs. solicitei o cancelamento do meu pacote de internet da Vivo com a atendente na data 12/07/2023, onde o cancelame"
Falta de internet,"Tenho recebido propostas de migração de internet para a VIVO FIBRA há mais de um ano, ligam-me quase que diariamente. Vocês sabem "
Cancelamento em 30 dias que não é real,"Boa tarde, contratei os serviços da claro internet fica e a mais ou menos 20 dias, o sistema não funciona, já vieram 4 funcionário"
Estou sem internet e ninguem arrumou ainda,"Já possuia vivo nos 2 celulares que tenho, me ligaram oferecendo as duas contas e mais vivo fixo por 170 reais, após instalação do"
Ineficiencia,"Estou sem internet desde o dia 14, ja solicitei ajuda, mas disseram que iriam vir só dia 16. Mais de 2 dias sem usar o serviço que"
"Efetuei um contrato com a operadora vivo onde a mesma me ofereceu um plano vivo família 2 com uma paço grátis de apps, só que não tem como au baixa pois o mesmo só apresenta erro e",Tenho um serviço de internet na casa da minha Mãe em São Paulo e está no meu nome. A pelo menos seis meses a minha mãe está em tra
Sem Internet ha mais de 24h,Contratei vivo família 2 com direitos a vário apps só que o mesmo não está disponível para mim e ninguém da vivo resolve o problem
Sem acesso a internet pela 3 vez em 4 meses de uso da internet,Estou sem Internet ha mais de 24h e cada hora que eu ligo me dão um prazo diferente. Percebo que sempre que ha um feriadão acontec
INTERNET FIBRA SEM FUNCIONAR A 2 SEMANAS,Troquei meu plano p vivo fibra porém e a 3 vez q ficamos sem internet e telefone e o conserto demora no mínimo uma semana um total
Transferência de internet,"Estando há 3 dias sem internet na regide Vinhedo, São Paulo. Marcaram visita tecne não foram! Um técnico lesionado e, inacreditave"
Sem telefone fixo nem Internet,"Faz mais de 2 semanas que estamos sem internet, FIBRA VIVO, eles alegam que vão enviar técnico, mais nunca aparecem. Preciso de aj"
Internet fica lenta e travando,Fiz a abertura de dois protocolos pois a casa que aluguei não tem número e informei para colocar o número do lado como referecia. 
Me sentindo [Editado pelo Reclame Aqui],"Faz mais de 24 horas sem telefone fixo nem Internet, nos dias de hoje isso é terrível, trabalho com Internet 24 horas por dia, pag"
Sem suporte,"A minha internet está lenta, já entrei em contato com a vivo e depois de agendar várias vezes e o técnico não  aparecer, no dia 30"
App Vivo,"Contratei vivo fibra no valor de 109,90 e nao me informaram q após 1 ano mudaria o valor, só me falaram que em 1 ano não poderia c"
Suporte técnico não funciona,Devido a queda de energia estou sem internet e simplesmente essa empresa que deveria ser punida nao atende o cliente estou a mais 
VIVO INTERNET - O GOVERNO DEVIA BLOQUEAR OPERADORAS,"Estou tentando recuperar minha senha no aplicativo da Vivo, mas para confirmar eles usam um e-mail meu muito antigo que não consig"
Péssimo serviço da Equipe de manutenção,"Estou tentando utilizar app VIVO, pois estou com problema no modem, luz vermelha piscando, e nenhum canal de suporte técnico está "
Cobrança [Editado pelo Reclame Aqui] após solicitação de Cancelamento,Cancelei meu plano de internet residencial pelo alto custo das mensalidades.Mesmo assim a operadora continuou cobrando
Vários dias sem Internet fixa,"Já não é de hoje que a vivo, com seus fios de fibra óptica, estão dando problemas na ILHA DO GOVERNADOR-RJ, em especial na área da"
Vivo Fibra com muitos clientes para atender nao tem tempo para instalar insternet,Entrei em contato com a Empresa VIVO 12/07/2023 solicitei cancelamento da internet por motivo de mudança e após 3 dias ainda não c
Nenhum canal de atendimento da vivo funciona e estou sem internet.,Por 3 vezes esse mês já passei dias sem Internet. Uma vez durou pelo menos 4 dias. Agora estou a 3 dias sem Internet e a visita té
Sem internet já tem 12 dias !!,"Vivo Fibra com muitos clientes para atender nao tem tempo para instalar insternet, contratei internet vivo fibra para empresas na "
Internet em mal funcionamento,Nenhum canal de atendimento da operadora Vivo funciona. Todos são [Editado pelo Reclame Aqui] com respostas prontas e não direcion
A internet sai fora do ar e fica mais de dois dias fora,Já estou sem internet fibra  a uns 12 dias e todo dia ligo e eles marcam a visita técnica e não aparecem ..
Cancelamento Indevido,"Em contato com a empresa foi me enviado um técnico para resolver o meu problema com a internet, depois de meses dos técnicos nunca"
A vivo está me cobrando multa contratual por um produto que cancelei em 4 dias,"Pela segunda vez, ficamos mais de 24h sem internet. Trabalho via online. Acabo sendo prejudicada sem internet. Quando contatamos a"
Sem internet fixa,"Dia 14/09, protocolo*******4089, migrei meu plano de TV de TV fibra para Internet via VivoPlay com 40 canais. Desde essa data deix"
Internet não funciona,"No mês de junho contratei a vivo internet aqui pra minha casa, e apresentou problemasz desde o primeiro dia, com 4 dias de instala"
Interrupção de serviços!,"Estou trabalhando em home office, pago muito caro na internet justamente porque meu marido e eu trabalhamos de casa, e pela segund"
Falta de transparência com consumidor. Falaram que meu plano seria de 12 meses.,"Estava tentando falar com a vivo desde anteontem por ligação pelo tel 10315, pois fiquei sem internet wi fi, contudo toda vez que "
FIZERAM EU ASSINAR OUTRO PACOTE DE INTERNET E NÃO CANCELARAM O ANTIGO,"Estou desde sábado dia 16/09/2023 das 13:00 sem internet, chamei o suporte técnico que verificou e informou que é na central o pro"
Convença [Editado pelo Reclame Aqui],"Desde o dia 14/09/2023 (Quinta-feira), os serviços de Banda Larga e telefonia fixa Vivo não estão funcionando. Eu entrei em contat"
Meu aplicativo não está funcionando,Olá infelizmente fiz um plano com a vivo pra minha casa de 12 meses isso segundo o vendedor da vivo que entrou em contato comigo m
Cobrança de fatura duplicada,"Venho aqui reclamar sobre a vivo pois eu tinha um pacote de internet da vivo sendo que já tinha um com minha mãe, entraram em cont"
40 HORAS SEM INTERNET,O vendedor me ofereceu um teste de 7 dias sem custo... Não gostei e mandei cancelar... Depois de um ano apareceu uma dívida de R$5
nao querem alterar meu endereco,Sou cliente vivo fibra porém meu acesso está indisponível no aplicativo e não consigo ter acesso a nada referente meu serviço
SERVIÇO DE INTERNET VIVO LINHA FIXA ruim / péssimo!! UMA [Editado pelo Reclame Aqui] / LIXO PURO,Eu possuia o plano de internet fixa de 300MB e realizei a troca para o plano de 500MB. No dia 10/09 realizei o pagamento de uma fa
Nos últimos 49 dias fiquei sem internet em 23 e sem desconto na conta,"Relativo ao contrato do CPF *******, desde ontem, 12/09, às 8:00, o serviço de Internet fixa não está disponível, a central de ate"
Problemas de sinal e internet,"Um absurdo, contratei o serviço e depois de um tempo tive que mudar de endereço, solicitei a alteração ou o cancelamento e até hoj"
Cobrança,"Tenho uma linha telefônica FIXA -******* com serviço de internet mas o serviço de internet é muito RUIM, lento , o tempo todo a re"
"Não mantem o agendamento conforme combinado, vivem trocando o dia e hora",Em menos de 2 meses tive um período de 2 semanas sem internet e comecei outro que já tem 7 dias e sigo contando. Com destaque ao f
Problemas reincidentes com o serviço,"Desde a instalação no final de 2020, ocorrem problemas seguidamente. Os técnicos vêm, trocam fios, fazem testes, mas os problemas "
Zero sinal por uma semana,"Mudei de endereço, pedi transferência do meu plano e eles me disseram que não tinham cobertura para meu novo endereço e que não co"
Ligações Importunas,Pior empresa no atendimento ao cliente.Há uma semana estou agendando e o agendamento não é cumprido. Tecnicos ligando para s
3 DIAS SEM INTERNET,"Por mais uma vez em uma sexta-feira(01/09/23) como sempre acontece, ficamos sem internet e telefone. Meu filho com muita necessida"
Multa [Editado pelo Reclame Aqui],Internet sem sinal a partir de 30 de agosto de 2023. Foram feitas 16 marcações de visita técnica e nunca veio ninguém resolver. Me
Internet sem conexão,"Mais de 50 ligações diárias, estou gravando e registrando para providências!"
Falta de internet .,"Estou há 3 dias sem internet em casa e a vivo posterga a visita para regularizar a situação, que pelo visto é da região. Moro no J"
INÚMERAS LIGAÇÕES O DIA TODO,"Cancelei assinatura da banda larga em 21/08/2023, havia contratado em 06/21. Recebi protocolo*******0728 com a garantia que não ha"
Mudar ponto modemm,Minha Internet tem sofrido interrupções constantes ficando sem conexão por várias horas. A empresa não consegue informar o porquê 
Incompetência para resolver problemas,Estou há 6 dias consecutivos sem internet e sem telefone fixo. A vivo não dá sinal de vida. Já liguei várias vezes para o 10315. O
Não enviam técnico para resolver o problema,JÁ FAZ MESES QUE A VIVO ME LIGA DIARIAMENTE VÁRIAS VEZES!EU NÃO VOU FAZER O PAGAMENTO DE COBRANÇAS [Editado pelo Reclame Aqu
Cancelamento,"Desde segunda quinzena de agosto 2023,estou ligando na vivo ,conversei com atendente e agendo visita técnica pra mudar o ponto e e"
Fatura vem maior que o valor contratado,"Estou há mais de 2 semanas sem o sinal da internet na minha casa! Já abri mais de 10 chamados de reparo mas, apesar da presença do"
Não consigo cancelar minha internet residencial,Um caminhão arrebentou o cabo da Vivo Fibra na minha rua e desde sexta feira liguei solicitando o conserto. A atendente falou que 
VIVO internet e fixo residencial não funcionam,Excelente noite!Após inúmeras tentativas de cancelamento a linha fica muda não permitindo a conclusão do cancelamento.
Não estou recebendo a velocidade contratada de internet fibra,"Fiz um plano de internet de R$99,00, e todo mês vem R$108, gostaria de alguma explicação"
Sem internet há 4 dias,Estou tentando a dias cancelar minha internet residencial porque não estou usando o serviço devido estar fora do país e não consig
Sem internet vários protocolos de horários de concerto não comprido,A operadora VIVO parece que está não  está mais preocupada com a qualidade da marca aqui no meu condomínio. Tenho um combo de inte
sem assistencia tecnica 4 dias sem internet,"Contratei um serviço de internet da Vivo em janeiro de 2023, antes de mudar para minha nova residência, pois o vendedor alegou que"
Abandono de cliente,"Bom dia, Desde terça-feira de manhã estamos sem internet (fixa) aqui em casa. No meu dia de home-office, precisei ir para a "
Internet de péssima qualidade!,Estou sem internet faz dois dias uma vergonha vc entra no aplicativo te dão uma previsão que nunca e comprida pra conserto do pobl
Sem internet a mais de 72 horas,"Nao consigo agendar assistencia tecnica com vivo, estou ha dias sem internet na minha chacara. O modem é antigo e velho, que certa"
Internet lenta,"A operadora decidiu não implantar rede VivoFibra na minha cidade (Sapucaia do Sul/RS), desde então vem perdendo clientes pois a re"
"Empresa sem ética e compromisso, uma semana sem internet fixa e sem retorno.","Instalei no dia 18/10/2023 500 megabytes , após esse dia ,a internet nunca chega no apartamento o que foi contratado!"
Estou sem internet a 2 dias,"ESTAMOS A MAIS DE 72 HORAS SEM INTERNET ,SEM CONTATO ,PQ ALEM DA INTERNET DA VIVO SER DESLIGADO SEM AVISO ALGUM ,OS MEUS SERVICOS "
Internet intermitente,Problema com rede de Wi-Fi e cabeada. Internet lenta e caindo sempre.
Vivo Internet,"Assino 500mb de internet e só estou recebendo 90mb, nao consigo entrar em contato pelo telefone porque a ligação sempre cai,  o CP"
Serviço de internet,"No início do mês a Vivo entrou em contato conosco afirmando ter uma boa proposta para a minha residência, de fato pelo que foi col"
Internet vivo casa,Estou há uns 6 meses tendo problemas com a Vivo. Sou fotógrafa e preciso de internet para realizar downloads de fotos e já ocorreu
Internet fibra óptica,"Fazem dois disser que estou ser internet em casa, e estou tentando ligar na vivo. Liguei ontem e eles me deixaram esperando por 10"
internet sempre indisponível,"Utilizo da rede de internet da Vivo para trabalhar, ultimamente o serviço tem precarizado.Sofrido com diversas quedas,"
Estou desde o dia 29/09/23 sem acesso a internet.,Estamos sem Internet desde de domingo. Na primeira vez que ligamos informaram que estava com problema aqui no bairro que moro e qu
Sem Internet fibra e TV,"Estou a dois dias sem o sinal de internet na residência, já fiz diversas ligações para a central da vivo, e não resolvem, agendara"
"Novamente pela enesima vez no mês , sem internet","Tenho o pacote da vivo fibra, sou de Joinville, Santa Catarina, mais precisamente da av Getúlio Vargas, 1160Volta e meia o s"
"NÃO CUMPRE O QUE PROMETE FERE LEO 8,078 CDC","Internet de péssima qualidade cai e não volta mais já tive dois prejuízos porque trabalho com online , como fizeram meu cadastro e"
Residência sem Internet há mais de vinte e quatro horas.,"Contratei um plano no dia 10/10/2023 de Vivo fibra e celular para o endereço da Estrada da Balsa 1350 por R$ 140,00 e outro para R"
Não param de me ligar,"Estou desde o dia 29/09/23 sem acesso a internet. Já reclamei já Anatel, já liguei diversas vezes e nunca resolvem o problema da b"
Problema com a internt fixa após trocar de plano,"Estou sem Internet fibra e TV desde às 16h do dia 31/10/2023.Abri vários protocolos, e a Vivo não informa o que está acontec"
Indisponibilidade do serviço de internet,"Já fiz uma reclamação aqui no dia 14 acredito eu, desde lá a internet caiu várias vezes, maioria das vezes volta sozinha , outras "
Sem internet há 2 dias,"Tenho internet banda larga fibra vivo, tinha um plano de 200 MB que propiciava uma internet lenta, muito ruim, liguei para comerci"
Internet fibra não funciona,"Desde as 19 horas do dia 30.10.2023, minha residência está sem qualquer servico de internet fixa, já completando mais de vinte e q"
Mau serviço de internet casa,"Não aguento mais receber ligações gravadas falando que A Vivo Fibra chegou no seu endereço, são várias ligações todos os dias, são"
Internet oscila e ninguém resolve o problema.,"eu tinha um plano de internet fixa e um de móvel, dai me ligaram para me oferecer um outro plano que deveria ser muito melhor pois"
Sem internet há 3 dias e não enviam técnico,"Estou a 4 dias sem internet, já fiz inúmeros contatos com a Vivo e eles não resolvem o problema. Um absurdo, desde o primeiro cont"
Internet Fibra Com Problemas,Eu fiz portabilidade com meu número para a Vivo recentemente.Logo em seguida eu contrateinum plano de Internet móvel e Inter
iNTERNET SEM FUNCIONAR,"Estou sem internet da vivo há 2 dias, foi informado que compareceria um tecnico no local na data de ontem, no entanto, ninguém com"
Vivo Internet fixa,"Tem mais ou menos 20 dias que dia sim, dia não a internet vivo fibra simplesmente para de funcionar entre as 14 as 17:00!"
Sem internet toda semana,Tenho um celular da Vivo + internet para casa. De um bom tempo para cá o serviço de internet da Vivo fibra ótica caiu muito. Havia
Estou sem Internet a 4 dias.,"Pela segunda vez no mês, estou sem internet na minha casa. Hoje, depois de várias tentativas via app e ligação, consegui falar com"
Sem sinal de Internet da Vivi Fibra,Tenho um plano de 300mb de internet que nunca consigo utilizar. A velocidade não passava de 100mb e depois de muita pesquisa na in
Problema na internet,Estou sem internet desde domingo dia 29/10. Já entrei em contato inúmeras vezes pelo atendimento e pela ouvidoria. Já prometeram t
Sem internet Vivo,"Estou há 05 dias sem internet funcionando da forma correta em minha residência, vários protocolos em aberto e nenhum resolvido, es"
Estou sem internet a uma semana,Fez 1mês que contratei a internet fibra pra minha residência mas a internet não funciona a dias ... Liguei pra vivo eles me falara
Internet,Esta com 3 semanas que ligo  para VIVO para resolver o meu problema de intrernet que está lenta e  caindo sempre. Quando chego a f
Sem Internet há vários dias,"A 4 dias estamos sem Internet, meus vizinhos e eu. Ligamos lá fala q vai vir uma técnico, todos q vieram não resolveram o problema"
Todo mes tenho problema com falta de internet e telefone,Passo um dia com internet e 4 sem..pois meu modem fica piscando vermelho direto o técnico vem depois de 2 3 dias e volta e no outr
Pagando caro e em dia para toda semana lficar sem internet e tv,"Desde sexta feira, 27/10/2023, estou sem Internet. Quando abro chamado pelo aplicativo o retorno que tenho é que existe uma ocorrê"
Problemas na rede de internet.,"A rede de fibra da internet da Vivo não funciona na minha casa, já fiz dezenas de pedidos para detectarem o que está acontecendo e"
Modem com problema,"Estou com problema na internet, a alguns dias, já marquei visita do técnico, mas o mesmo não apareceu para resolver o problema, es"
"Minha internet não funciona faz duas semanas, e nem sequer posso falar com um atendente, pois o bot não possui opção","Boa tarde,Venho aqui registrar minha indignação e descaso com a Vivo referente ao problema apresentado no meu condomín"
Falta de fornecimento de serviços,"Estou sem internet e não consigo contato com eles ,está no CPF do meu pai*******"
ACESSO A INTERNET,"Estou desde do 18/10 sem Internet na minha residência, cansei de escuta conversa ah vai ser normalizado apartir das 19:00, o técni"
Internet travando,"Estou sem Internet desde sábado, dia 28."
Não entrega o que eu contratei !!,Toda semana tenhoproblema na minha internet ja fiquei 20 dias sem e dicessersm q tava trocando os cabos e que ia solucionar o prob
VIVO FIBRA NÃO FUNCIONA ADEQUADAMENTE HÁ MUITOS MESES,"Ligaram oferecendo a Vivo aqui em casa, decidimos aceitar, isso tem uns 6 meses ou mais, e desde que foi instalado toda semana ten"
Fiquei sem internet,"Estou com problemas no serviço de internet desde o dia 18, e ontem o sinal sumiu de vez. Ao pedir o atendimento, fui informado que"
20 dias sem internet fibra,Boa noite.Estou com problema no meu Modem ele está piscando vermelho no 5G e minha internet está lenta como se tivesse com a
Pago para não ter serviço nenhum,"Minha internet não funciona faz duas semanas, e nem sequer posso falar com um atendente, pois o bot não possui opção. Preciso dize"
Vivo fibra sem funcionar há 8 dias e nem sabem qual é o problema.,Hoe clientes da vivo está o dia todo sem internet e vivotv. Quando vc liga ouve a menssagem que estão ciente do problema e voltari
Problema com internet,Contratei ao operadora vivo internet fibras para casa mais tv aplicativo eles imediato instalou só que TV por aplicativo não funci
Problemas Recorrentes com Internet Vivo e Falta de Suporte Adequado,Estamos sem internet desde 08/09/2023. Simplesmente o serviço foi interrompido sem aviso e sem reparo até hoje 14/08/223. Já ligam
Sem conexão com a internet a 5 dias,"No dia 05/08 por volta das 23h a internet caiu, como estava tarde achei que fosse algum problema, no domingo dia 06/08 quando veri"
Estou muitos dias sem internet e a vivo não resolve,"Internet travando o tempo todo, da empresa e da residência. Dois dias atrás estava travando também."
Sem internet desde o dia 19/07/2023.,"No dia 03/08 alterei o meu plano de internet de 300 MB para 600 MB, notei que estava vindo na faixa de 150MB a 300MB, sendo que o "
interrupção do serviço,Conforme Protocolo*******5618 previsto para 07/08/2023 já é a 3 vez que os técnicos da VIVO visitam o meu imóvel e não conseguem d
Internet fixa sem funcionar parcial ou totalmente desde 10 julho,"Desde que contratei a internet da VIVO tenho problema, fico mais sem internet do que ela funcionando, já liguei várias vezes na op"
Manutenção recorrente,"Paguei tudo em dia, mas fiquei um dia inteiro sem conseguir trabalhar porque estava sem internet aqui em casa. Péssimo serviço!"
Internet Vivo Fibra caiu e não voltou,"Conexão está péssima, ver vídeos não dá, toda vez que entro no aplicativo diz que estão em manutenção, quase 1 mês assim, não faz "
Internet ruim e instável,"Olá, estou sem a minha Internet desde manhã e quando entro em contato com a vivo não houve respostas nenhuma, como pode uma empres"
Problemas na internet,Fiz um contrato de internet fixa com a Vivo em 11/07 e correu tudo bem com a instalação. No dia 18/07 minha internet parou de func
Serviço intermitente de Internet,Fiz uma solicitação de mudança de endereço para a Vivo e fui atendido por eles. Só que no dia da visita do técnico após ele dizer 
Diminuição do sinal da internet,Utilizo o serviço de internet da Vivo há algum tempo e venho enfrentando problemas recorrentes que estão impactando severamente o 
Inexecução dos Serviços de Internet,"Já estou a 5 dias sem conexão com a internet. Já abri diversos chamados e sempre dão a mesma resposta, de que o problema é externo"
Pessimo serviço de internet na Vivo fibra,"Desde janeiro tem ocorrido o seguinte:  minha internet está funcionando e do nada para de funcionar, ligo no atendimento da vivo e"
Sem sinal de internet,"Desde o dia 19/07/2023 por parte da noite estou sem internet fixa em minha residência. Hoje são 24/07/2023, ou seja, 5 dias totalm"
Falta de internet e acionamento indevido,"Contratei a vivo fibra ótica , estou pagando r$120 por mês e dentro de 3 meses q contratei já fiquei sem internet 4 vezes, porém d"
Internet obsoleta,"Nos últimos 30 dias, tivemos 4 longas interrupções no serviço de banda larga da VIVO. Isso provoca um transtorno na minha rotina: "
Internet wefi nunca funciona,Há mais de 10 dias à internet ou não funciona ou funciona. Já consumi todo meu plano de internet do celular de 30G em razão da int
problemas com a minha banda larga,"Boa noite, hoje mais um dia que estou sem internet em casa.Ligo e faço a reclamação, sempre passam a informação que es"
Internet totalmente inoperante,A internet Vivo Fibra da minha casa caiu ontem 14/07/2023 por volta de 16h após um pico de energia no bairro e até agora não volto
Internet continua caindo com frequencia,"Pedi instalação da internet em abril deste ano, porém a minha experiência não tem sido das melhores. A internet vive caindo, sinal"
