Titulos,Conteudo
Oi fibra sem compromisso,MINHA EMPRESA ESTA EM INTERNET DESDE O 11/08/2023 JA ENTREI EM CONTATO NA MESMA DATA E FICARAM E ME AGENDARAM PARA SABADO DE 08 AS
COBRANÇA AUTOMATICA - OI,Desde sexta feira dia 06 de outubro que peço por uma mudança de endereço e eles não fazem ficam dizendo que o lugar está fechado s
Sem acesso ao e-mail @oi.com.br,"Assumi recentemente a área financeira da empresa e constatamos que existia um debito automático da internet da oi desde 2016, poré"
Cobrança por conta que não tenho.,"Senhores, venho tentando há tempos o resgate do meio e-mail ******* e a empresa nunca da retorno. Tento pelo atendimento e a ligaç"
Sem internet e sem telefone falta de respeito,"Bom dia, a mais ou menos 10 anos trabalhei com um amigo na empresa C.R Alves Franco e na época a Banda Larga do local estava em me"
Baixa internet 2.4,Bom dia Falta de respeito dessa operadora tem 3 meses todo semana tenho que ligar pra reclamar que estou sem internet e sem 
MAL ATENDIMENTO,"Há uns dias a OI Fibra não está entregando 1% da velocidade contratada na banda 2.4 , prejudicando o funcionamento do laptop, câme"
Estou sem internet faz uma semana,"TENHO CONTRATO A 99,90 AO MES, E ESTÃO COBRANDO 129,  AGORA ESTOU SEM TELEFONE E NÃO VEM ARRUMAR, UMA FALTA DE ATENÇÃO COM CLIENTE"
INTALAÇÃO OI FIBRA,"Desde o dia 04/10/2023, há uma semana atrás, estou sem internet na minha empresa, impedida de gerar notas fiscais, lançar notas, d"
"MANUTENÇÕES NA REDE SEM NOTIFICAÇÃO, PREJUÍZO POR 2X EM 1 SEMANA, SEM AVISO DA OPERADORA.",Abrimos uma filial da empresa em Florianópolis e não estamos conseguindo comprar oi fibra + telefone fixo que são padrões da OI no
"Assinei a OI por R$99,90 e agora me cobram 178 reais.","Pois bem, eu tinha o plano da OI no PF e utilizava para trabalho em casa, pois sou TI e uso a internet em meu dia para trabalho e "
Quase 30 dias sem Internet e nada de resolver,"Assinei a OI em 2020, com um combo que tinha telefone fixo e [Editado pelo Reclame Aqui]tava 99,90. A última conta (setembro/2023)"
velocidade contratada,Dia 21.09.23 parou de funcionar fibra e telefone. Dia 22.09.23 abrir o primeiro de vários protocolos*******1254. Dia 25 .09 ainda 
Sem internet por incompetência da Oi,"Até hoje não recebi minha fatura via email como pedi.. e falaram, minha internet 1 giga nao chega nem perto disso esta em 250 de d"
ASSÉDIO INTERRUPTO,"A um tempo atras fiquei quase 2 meses sem internet porque conta que troquei o endereço e solicitei a troca, o tecnico veio trocar "
Retorno de funcionamento do oi fibra,"A Oi Fibra me liga ao menos 20 vezes ao dia para me oferecer produtos, seja por ligações robóticas (Joyce) ou por pessoas, eu não "
Internet fraca,"Referente o protocolo*******3525, minha internet parou de funcionar e por incompetência de alguém meu endereço está com bairro e c"
"Não enviam conta , aumentam a fatura e bloqueiam a linha mesmo com varios chamados","Depois que fiz portabilidade da minha internet para fibra ótica da Oi, nunca mais pude assistir a filmes. O pacote de dados que en"
Internet Lenta e Má Qualidade de Serviço - OI FIBRA,"Já e a segunda reclamação , pois minha esposa fez uma na Anatel e uma por aqui e não responderam , agora venho reclamar pq liguei "
Velocidade de Internet menor que a constatada,"Prezada Equipe da OI Fibra,Venho por meio desta reclamação expressar minha profunda insatisfação com os serviços de in"
cobrança indevida,Boa noite.Estou reclamando da operadora Oi onde estao me cobrando um valor de mensalidade referente a 200 megas de Int
Toda semana a internet fica ruim,"eu mudei de endereço ( na mesma rua, que includive já tive oi nesse endereço) mas a oi informou que não tem viabilidade técnica, e"
CANCELAMENTO,"Praticamente toda semana a internet fica com perda de pacote, eles dão um prazo bem longo para resolver o problema e mesmo assim n"
Cancelei e estou sendo cobrado por conta paga,"CONTRATEI A OI FIBRA E POR MOTIVO DE SERVIÇO MAL PRESTADO FIZ O CANCELAMENTO HÁ UNS 2 MESES PELA INTELIGENCIA VIRTUAL DO TELEFONE,"
"Cobrança, problema no contrato e sem internet.",Cancelei meu contrato com a operadora Oi fibra que até prestava um bom atendimento apesar de não ter suporte técnico paguei todas 
Problemas de acesso à Internet,"Já alguns dias, estou com problemas na minha internet, ligo pra eles resolverem diz que não tem contrato no meu CPF, que estar em "
"Problemas com o sinal de internet, e o técnico não aparece. Dificuldade para cancelar e cobrança pelo serviço não prestado.","Desde de ontem (28/09/23) estou sem acesso à Internet. Entrei em contato com a Oi, via WhatsApp -técnico virtual - recebi a inform"
4 dias sem acesso à internet e sem pós vendas,Desde sexta feira 08/09/23 o fiquei sem sinal de internet e tentando resolver.. A notificação sobre uma manutenção demorou u
Oi Fibra sem funcionamento há 4 dias,"Hoje é o terceiro dia que estou sem internet, fiz um primeiro contato na terça-feira e uma mensagem automática informou que tratav"
Não executam a instalação do produto,"Possuo Oi Fibra para empresa, ou seja, precisamos de internet para todo o nosso fucionamento porém a prestadora esta realizando ma"
O sonho ainda está um pesadlo,"Meu pedido feito foi 31 de agosto, houve a necessidade de fazer adequação tecnica no prédio pois é novo, esse serviço foi realizad"
Mau atendimento / suspenção de conta,"reclamei aqui a um certo tempo atrás, e quando resolveram entrar em contato comigo, trocaram de atendente, trocaram meu nome e me "
Sem conexão com a interner,Bom dia.Protocolo em questão: *******.Fui extremamente mau atendido na ligação do protocolo a cima. Ao sol
Culpa da empresa e quer que eu pague por um problema deles,"Contratei o serviço da Oi no dia 19/09, instalaram no dia 22/09 e no mesmo dia tive que ligar devido conexão fraca, muito lenta!!!"
internet parado a uma semana,"Fizemos a contratação do plano e sabíamos da fidelização, em menos de 1 ano decidimos mudar de endereço e queríamos levar a oi par"
3 Mudanças de endereço não realizada e cancelamento não realizado,"tem uma semana que esta parado fiz reclamaçao o tecnico veio falou que o problema era na rua que iam arruma, a oi me ligou falou q"
Pagar por algo que eu não recebi?,"Solicitei mudança de endereço (na verdade foi uma opção dada pela empresa) por 3 vezes, com a promessa de o serviço fosse realizad"
Ligações abusivas,"Eu e meu esposo adquirimos a OI Fibra na minha residência. Infelizmente na minha região, a OI não é legal. O sinal é intermitente."
Oi não para de perturbar!!!,"Há meses venho recebendo ligações oferecendo internet, em todos os horários e dias da semana. Já feito cadastros de bloqueios em t"
Preciso cancelar o serviço e pagar uma conta pendente,Recebo diariamente inúmeras ligações da Oi tentando vender Oi Fibra. Por 20 anos fui cliente da Oi. Saí dela justamente devido ao 
Falta de comprometimento com cliente,"Não consigo falar na oi, o atendimento é uma porcaria, não consigo no whats, nem no telefone e o cadastro no site não funciona. "
MEU SINAL SUMIU E O TÉCNICO NAO VEM PRA CONSERTAR A CAIXA DE LUZ,Me mudei de endereço estou a mais de uma semana tentando fazer a mudança da internet e sem sucesso. O prédio onde me mudei não tem
problemas para mudança de plano oi fibra,"Desde o dia 29/10 meu sinal de internet caiu, acendendo a luz vermelha LOS, liguei para o atendimento e eles agendaram um técnico "
SEM INTERNET,Sou cliente do plano oi fibra de 500 megas há bastante tempo. Verifiquei que há disponibilidade do plano oi fibra mais de 700 mega
Ligações frequentes oferecendo fibra ótica,"Observei que estava sem internet em minha residência quando retornei  do Trabalho numa quarta feira, fiz a reclamação, agendei a v"
Festival de erros e informações contraditórias,"Tenho recebido diariamente ligações dizendo que a fibra ótica chegou no meu endereço. Mesmo bloqueando o número, logo recebo ligaç"
Ligações insistentes e pertubadoras de empresas de call center para vender o produto Oi Fibra.,"O problema começou no exato momento da contratação, feita via site da empresa. Dados preenchidos, visita técnica agendada e achei "
Pra quê disponibilizar o pagamento via Pix se a liberação do serviço pode demorar de 12 a 24 horas?,As empresas estão ligando insistentemente em nome da Oi Fibra pra oferecer seus serviços e acaba atrapalhando meu rendimento no tr
Devolução de equipamento,"Eu estava com duas contas em aberto, a que venceria no início de novembro e a que venceu no início de outubro, a Joice que é uma p"
Telemarketing insistente,"Já tentei devolver o aparelho modem oi fibra várias vezes e não consigo, já mudei de endereço, está cancelado a vários meses e con"
Dificuldades para cancelamento - Cancelamento solicitado em 23/10/2023 porém as cobranças ainda continuam de forma indevida como se o serviço estivesse ativo,"Telemarketing insistente da OI, mesmo meus números cadastrados no ""Não Perturbe"". Esse aviso da abertura da página de re"
Péssimo serviço prestado!,"Realizei o pedido de cancelamento do serviço no dia 23/10/2023 (protocolos n.*******9449 e*******2784), tendo inclusive agendado a"
Não consigo mudar a forma de pagamento,"Fazem 10 dias que estamos solicitando um reparo no cabo da fibra ótica que o caminhão rompeu na rua, já enviaram 3 técnicos que nã"
Perturbação Diária,"Aplicativo da oie e uma vergonha, não consigo nem abrir o aplicativo um lixo vai fazer 1 mês já, que tento entrar pra resolver as "
Quebra de promessa de venda,"Importunante Empresa Oi,  Favor responder o ID no site Reclame Aqui n 173779649, referente à perturbação diária "
Não aguento mais tantas ligações,Ano passado (2022) solicitamos a instalação do combo oi Fibra após receber uma oferta pelo telefone. Utilizamos o ano todo e no in
Marketing irregular e muito inconveniente,"Estou sendo continuamente perturbada com ofertas ""Oi Fibra chegou ao seu endereço"". Todos os dias, repetidas vezes, incl"
"Já estou há 12 horas sem internet, e sem trabalhar.",Constantemente recebo ligações de marketing da Oi Fibra oferencendo um serviço que nunca solicitei. O número que liga não está nos
Não consigo realizar o cancelamento,Minha conexão parou totalmente de funcionar ontem por volta das oito da noite. Infelizmente é quase impossível de falar com algum 
Bloqueio,"Estou tentando cancelar a minha assinatura com Oi devido ao serviço não prestado estou pagando por um serviço sem ter o serviço, l"
Vendedor mentiroso e suporte mais ainda,Eu sempre pago minha conta e faço via pix q acho q em todo lugar é mais rápido? Eles cismam em cortar minha conta e estando em dia
Cobrança de Conta paga estão me cobrando.,"Me ligaram oferecendo a internet , eu disse que já tinha uma , ofereceram um plano similar com um benefício a mais , eu aceitei e "
Liguei para tentar reconectar e teve mais de uma hora esperando,"Paguei a conta que estava vencida 03/10/2023 ,paguei no dia 17/10/2023 eles bloquearam meu sinal estão dizendo que a fatura está e"
Estou indignada,"Liguei para tentar reconectar minha internet e fui passado de atendente para atendente por mais de uma hora, sem receber nenhuma s"
Suporte fraco e atendimento despreparado.,"Me chamo Maria eu tinha internet oi em casa. Mas com a dificuldade pra pagar,pedi o cancelamento. Então contrai uma dívida no meu "
Cobrança indevida de multa,"Começando do início, recebi uma proposta de subir a velocidade de minha Internet para 500 lmb pagando 99$. até aí tudo bem, a Inte"
Contatos intermináveis,"Cancelei o serviço de Oi Fibra e telefone fixo após os 12 meses de uso, onde não foi autorizada renovação de novo contrato, e estã"
TENTATIVA DE CANCELAMENTO,"Não sei COMO esta empresa teve acesso aos meus dados, mas eles não param de ligar para oferecer fibra óptica. De números diversos "
Além de incomodar com ligações execivas desligam na nossa cara.,"Estou tentando fazer o cancelamento do plano, porem esta impossivel. Liguei hoje e o atendente informou que eu precisaria confirma"
OI Fibra nao quer cancelar minha internet,"Como se já não bastasse o excesso de ligações, o horário que ligam e essas ofertas e tal ao atender e após se identificarem e faze"
Aplicativo Minha Oi - Login Desabilitado,Essa empresa não respeita os clientes. Até hoje não responderam a minha reclamação anterior e hoje foi debitado em minha con
Não Contratei Oi Fibra e estão Me Cobrando,No dia 05/10/2023 entrei em contato com a operadora OI para solicitar o cancelamento de serviços de internet OI FIBRA ( protocolo*
Nao consigo atendimento na IA,"Contratei oi fibra a um mês. Entretanto, já estou tendo sérios problemas com os serviços oferecidos pela oi. Faz mais de um mês qu"
CABEAMENTO,"Recentemente recebi mensagem da Oi me Cobrando valores em aberto referente a oi fibra, porém eu nunca contratei o serviço. Entrei "
"Instalação reagendada por várias vezes, mal atendimento e até o momento não instalaram","Internet lenta, não consigo atendimento pois é necessário informar código cliente que está na fatura, porém tenho débito em conta "
LIGAÇÕES SEM FIM OFERECENDO SERVIÇO,"Faz dois meses que estamos tentando fazer o cabeamento no condomínio aonde vamos morar e não conseguimos, precisamos tentar resolv"
ESTÁ IMPOSSÍVEL CONTINUAR,"Fiz o pedido da minha oi fibra, depois de uma semana agendaram a instalaçao, chegando o dia recebi a mensagem do técnico que minha"
Estou sem internet e telefone faz 10 dias,Estou ha dias recebendo 10/15 ligações por dia oferecendo serviço do qual EU NÃO TENHO INTERESSE.Começam as 8h da manhã e se
Não instalam minha internet,"Carlos ******* dos Santos *******, Apto 102Joinville, Santa Catarina, CEP 89218-01030 de outubro de ******* Fibra Oi S.A. - em Rec"
Cadastro,"Estou sem internet e telefone faz 10 dias. Na minha casa e na vizinhança, estamos sem internet e telefone da OI por causa de chuva"
Meu nome no Serasa,"Solicitei a mudança de endereço dia 11/10/2023, já se passou 20 dias do inicio da solicitação, e todo dia eu ligando questionando "
Descaso com cliente e solicitação de Reparo não atendida.,"Veio representante da Oi em meu endereço, me ofertou plano de internet com máquina de cartão pagseguro ( grátis e sem taxa de créd"
fatura gerada em duplicidade,"Venho por meio dessa manifestar minha indignação contra essa empresa, foi comprar uma casa financiada descobri q meu nome se encon"
Sem internet e não resolvem,"Meu plano está cadastrado com pagamento automático, porém fui fazer uma viagem esse mês e fiz o pagamento adiantado. Porém mesmo j"
Estou desde o dia 10/08/2023 aguardando a visita de um técnico,"SURPREENDENTE O DESCASO TOTAL do setor de reparos da OI no estado do RJ.Estou desde ABRIL deste ano, sem conexão e sem"
Falta de Profissionalismo do Funcionário Diego Gomes de Oliveira Maciel - TELEMONT/OI,"Minha internet parou de funcionar desde o dia 27/10, no dia 28/10 acionei o reparo, que foi marcado pra hj 30/10  o técnico veio n"
Falta de suporte e prestação de serviços,"no começo de setembro fiz uma negociação com Oi, na qual efetuei o pagamento no mesmo dia, 05/09, porém o sistema da Oi gerou 2x a"
ONT da nokia 1425g-b,"Boa tarde;Estou sem internet desde o dia 17/10/2023, solicitei a analise da OI FIBRA e nada, fiz várias ligações, porem info"
Não consigo efetuar pagamento,"Minha internet não está funcionando, liguei para empresa oi sobre minha oi fibra e telefone não esta funcionando, na terça feira e"
"PRODUTO DIFERENTE DO CONTRATADO, FALTA DE INTERNET E FALTA DE JUSTIFICATIVAS.","Eu precisei de mudar de local a empresa que funcionava em um endereço em Belo Horizonte no Bairro Salgado Filho, mudei para 400m d"
Velocidade muito abaixo da contratada,"Bom fiz um contrato recentemente com a oi de fornecimento de internet fibra 500mb , porém ontem no dia 13 de outubro minha fibra f"
5 dias aguardando um reparo de 24hrs,Quero utilizar meu próprio roteador e deixar a ONT em modo BRIDGE. Um dos requisitos que eu solicitei ao vendedor é que eu aceitar
Segunda vez no mês que falta internet,"CONTRATEI A INTERNET, PORÉM ELA VEM OSCILANDO MUITO, ESTOU TENDO VÁRIOS PROBLEMAS, LIGO SEMPRE E NÃO RESOLVEM O MEU PROBLEMA."
"Oi não quer fazer cancelamento, porém não arrumam minha internet","Desde quando adquirido os serviços da empresa OI FIBRA, esta não fornece os 400 megas contratados, pelo contrário, muito abaixo do"
Velocidade prometida X velocidade fornecida,É surreal o atendimento técnico da Oi Fibra.Dia 03/10/2023 foi feita a instalação da Oi Fibra na minha residência. No moment
Modem parando de funcionar e alcance minúsculo,"Após uma queda de energia no bairro, ficamos sem sinal de internet, oi fibra, abrir uma solicitação de reparo técnico,onde foi ide"
Oi Fibra em Maricá é uma vergoha,"Segunda vez no mês que tenho problema de conexão com a oi fibra l. E quando solicito reparo pedem muitos dias, trabalho em HOME of"
Não atendem chamadas e não resolvem problemas,"Faz 2 semanas que contratei os serviços da Oi Fibra, contratei 500mb de 129 ( que me recorde o valor foi este ) MAS, nestas 2 sema"
Ligações excessiva,"Eu tinha uma Internet Oi Fibra com 200Mb de velocidade, me ofereceram uma de %00Mb de velocidade só que ela não chega nem perto di"
Funcionário cobrando valor fora a parte,"bom dia, tenho o plano oi fibra há algum tempo, e desde alguns tempos pra cá tenho tido problemas constantes com o modem. só nessa"
Queda constante da internet,"A Oi como sempre com a demora pra resolver problemas de suporte. Há 2 dias tivemos um temporal e ficamos sem internet, porém todas"
Internet não funciona há 2 dias.,"Uso a internet da oi mais de 2 anos e esse ano simplesmente tô tendo muitos problemas a internet anda muito lenta, e o pior que o "
Sem internet,Fiz o cancelamento da internet ontem 05/10/2023 hoje 06/10/2023 fico recebendo mensagens automáticas no meu watts e somente das 11
Internet muito abaixo do contratado,O funcionário está cobrando para vir até minha casa pra fazer o serviço de reparo da Internet
VELOCIDADE CONTRATADA NÃO CHEGA NEM A METADE,Não faz nem uma semana que reclamei da internet e já estou sem internet novamente e o tempo de reparo que dão é de mais de 5horas 
